prompt_id,category,subcategory,length,curvature,convergence
analogy_001,analogies,relational,590.67957,1.255036473274231,-39.786700019836424
analogy_002,analogies,relational,600.0266,1.2647435665130615,-28.835215797424315
analogy_003,analogies,geographic,557.07245,1.294590711593628,-26.08094066619873
analogy_004,analogies,functional,553.551,1.2186293601989746,-27.223142776489258
analogy_005,analogies,functional,585.18665,1.221846580505371,-32.21276226043701
analogy_006,analogies,relational,666.61414,1.1554090976715088,-83.43660146713256
analogy_007,analogies,geographic,660.75806,1.1733242273330688,-37.403066606521605
analogy_008,analogies,geographic,659.669,1.223287582397461,-35.39331370353699
analogy_009,analogies,functional,639.79517,1.2241727113723755,-42.42730028629303
analogy_010,analogies,functional,628.5598,1.2391259670257568,-36.834966225624086
animal_001,animals,domestic,6563.7783,0.5545765161514282,-48.687761950492856
animal_002,animals,wild,606.5557,1.197098970413208,-34.26135482788086
animal_003,animals,marine,556.6757,1.259756326675415,-52.737924118041995
animal_004,animals,bird,583.64453,1.2699978351593018,-36.7931286239624
animal_005,animals,domestic,6625.0156,0.546331524848938,-33.66974837303162
animal_006,animals,domestic,642.5055,1.164544701576233,-39.00391592979431
animal_007,animals,wild,679.5692,1.1643872261047363,-64.27028794288636
animal_008,animals,marine,643.83435,1.2231223583221436,-34.71438580513001
animal_009,animals,bird,637.4185,1.2634289264678955,-34.68117616653442
animal_010,animals,domestic,643.7908,1.2497981786727905,-34.14437900543213
emotion_001,emotions,positive,6551.3564,0.5548563599586487,-42.3763049697876
emotion_002,emotions,negative,569.76526,1.2613086700439453,-38.65419925689697
emotion_003,emotions,negative,627.8136,1.1843740940093994,-46.17269676208496
emotion_004,emotions,negative,651.0971,1.2819101810455322,-45.19900135040283
emotion_005,emotions,positive,611.1881,1.2732527256011963,-57.65283912658691
emotion_006,emotions,positive,636.95715,1.2203173637390137,-44.41634755134582
emotion_007,emotions,negative,664.00073,1.2073231935501099,-52.10876593589783
emotion_008,emotions,negative,655.7755,1.2491557598114014,-41.26387943267822
emotion_009,emotions,negative,643.6828,1.2590744495391846,-41.77354276657105
emotion_010,emotions,positive,641.8296,1.1877195835113525,-41.05260576248169
reasoning_001,reasoning,relational,621.6061,1.2632116079330444,-36.150061798095706
reasoning_002,reasoning,syllogistic,668.77295,1.2421700954437256,-47.29919821739197
reasoning_003,reasoning,relational,657.49084,1.1935349702835083,-75.427372341156
reasoning_004,reasoning,arithmetic,625.9485,1.2913830280303955,-54.48203833580017
reasoning_005,reasoning,logical,632.6162,1.2620298862457275,-50.47614651679993
reasoning_006,reasoning,syllogistic,662.3873,1.2453263998031616,-48.099930963516236
reasoning_007,reasoning,logical,621.5836,1.332539439201355,-36.096470251083375
reasoning_008,reasoning,relational,661.6439,1.2803739309310913,-50.170299520492556
reasoning_009,reasoning,arithmetic,636.3078,1.310388207435608,-44.71808868408203
reasoning_010,reasoning,logical,670.24023,1.2717832326889038,-79.73841449737549
vehicle_001,vehicles,land,6586.67,0.5524793267250061,-49.172552647590635
vehicle_002,vehicles,air,628.5432,1.1599206924438477,-33.63254085540771
vehicle_003,vehicles,water,6625.462,0.5480771064758301,-46.383285980224606
vehicle_004,vehicles,space,6567.9395,0.5539047122001648,-41.31456894874573
vehicle_005,vehicles,land,6518.4307,0.5574551820755005,-49.72460761070251
vehicle_006,vehicles,land,634.99054,1.1905568838119507,-35.1452542591095
vehicle_007,vehicles,air,657.065,1.2382113933563232,-37.667119913101196
vehicle_008,vehicles,water,645.7831,1.1829109191894531,-34.56564721107483
vehicle_009,vehicles,space,640.91077,1.2286958694458008,-35.141038026809696
vehicle_010,vehicles,land,633.91736,1.2122504711151123,-36.79102509498596
